"행정구역별(1)","시점",데이터
"제주특별자치도","2004",16.4
"제주특별자치도","2005",15.7
"제주특별자치도","2006",16.0
"제주특별자치도","2007",16.6
"제주특별자치도","2008",16.1
"제주특별자치도","2009",16.1
"제주특별자치도","2010",15.8
"제주특별자치도","2011",15.8
"제주특별자치도","2012",15.9
"제주특별자치도","2013",16.3
"제주특별자치도","2014",16.1
"제주특별자치도","2015",16.2
"제주특별자치도","2016",16.6
"제주특별자치도","2017",16.4
"제주특별자치도","2018",16.3
"제주특별자치도","2019",16.6
"제주특별자치도","2020",16.4
"제주특별자치도","2021",17.2
